token,lemma
всех,весь
времён,время
составленном,составить
журналом,журнал
entertainment,entertainment
weekly,weekly
согласно,согласно
рейтинговым,рейтинговый
спискам,список
составленным,составить
afi,afi
восемь,восемь
фильмов,фильм
среди,среди
которых,который
она,она
обошлась,обойтись
с,с
ним,они
нечестно,нечестно
1933,UNK
топпер,топпер
1937,UNK
ужасная,ужасный
правда,правда
1937,UNK
воспитание,воспитание
крошки,крошка
1938,UNK
филадельфийская,филадельфийский
история,история
1940,UNK
его,он
девушка,девушка
пятница,пятница
1940,UNK
мышьяк,мышьяк
и,и
старые,старый
кружева,кружево
1944,UNK
мистер,мистер
блэндингз,блэндингз
строит,строить
дом,дом
своей,свой
мечты,мечта
1948,UNK
входят,входить
в,в
список,список
100,UNK
самых,самый
смешных,смешной
американских,американский
фильмов,фильм
шесть,шесть
его,он
фильмов,фильм
в,в
том,тот
числе,число
дурная,дурной
слава,слава
1946,UNK
поймать,поймать
вора,вор
1955,UNK
незабываемый,незабываемый
роман,роман
1957,UNK
были,быть
включены,включить
в,в
рейтинг,рейтинг
100,UNK
самых,самый
страстных,страстный
американских,американский
фильмов,фильм
сам,сам
актёр,актёр
занял,занять
второе,второе
место,место
после,после
хамфри,хамфри
богарта,богарт
в,в
списке,список
100,UNK
величайших,великий
звёзд,звезда
кино,кино
за,за
100,UNK
лет,год
за,за
свою,свой
46-летнюю,UNK
актёрскую,актёрский
карьеру,карьера
кэри,кэри
грант,грант
был,быть
номинирован,номинировать
дважды,дважды
на,на
премию,премия
оскар,оскар
пять,пять
раз,раз
на,на
золотой,золотой
глобус,глобус
и,и
единственный,единственный
раз,раз
на,на
премию,премия
bafta,bafta
а,а
также,также
был,быть
удостоен,удостоить
наград,награда
1960,UNK
давид,давид
ди,ди
донателло,донателло
премия,премия
в,в
номинации,номинация
лучший,хороший
иностранный,иностранный
актёр,актёр
к,к
северу,север
через,через
северо-запад,UNK
1970,UNK
оскар,оскар
за,за
выдающиеся,выдающийся
заслуги,заслуга
в,в
кинематографе,кинематограф
примечания,примечание
комментарии,комментарий
источники,источник
литература,литература
deschner,deschner
donald,donald
the,the
films,films
of,of
cary,cary
grant,grant
англ,англ
citadel,citadel
press,press
1973,UNK
276,UNK
p,p
isbn,isbn
9780806503769,UNK
dunning,dunning
john,john
on,on
the,the
air,air
the,the
encyclopedia,encyclopedia
of,of
old-time,UNK
radio,radio
англ,англ
usa,usa
oxford,oxford
university,university
press,press
1998,UNK
822,UNK
p,p
isbn,isbn
9780195076783,UNK
eliot,eliot
marc,marc
cary,cary
grant,grant
a,a
biography,biography
англ,англ
harmony,harmony
books,books
2004,UNK
435,UNK
p,p
isbn,isbn
9781400050260,UNK
higham,higham
charles,charles
moseley,moseley
roy,roy
cary,cary
grant,grant
the,the
lonely,lonely
heart,heart
англ,англ
avon,avon
books,books
1990,UNK
396,UNK
p,p
isbn,isbn
9780380710096,UNK
mccann,mccann
graham,graham
cary,cary
grant,grant
a,a
class,class
apart,apart
англ,англ
columbia,columbia
university,university
press,press
1997,UNK
348,UNK
p,p
isbn,isbn
9780231108850,UNK
schickel,schickel
richard,richard
cary,cary
grant,grant
a,a
celebration,celebration
англ,англ
pavilion,pavilion
1983,UNK
190,UNK
p,p
isbn,isbn
9780907516255,UNK
vermilye,vermilye
jerry,jerry
cary,cary
grant,grant
galahad,galahad
books,books
1973,UNK
160,UNK
с,с
isbn,isbn
9780883652916,UNK
wansell,wansell
geoffrey,geoffrey
cary,cary
grant,grant
dark,dark
angel,angel
англ,англ
arcade,arcade
pub,pub
1996,UNK
192,UNK
p,p
isbn,isbn
9781559703697,UNK
webb,webb
graham,graham
encyclopedia,encyclopedia
of,of
american,american
short,short
films,films
1926-1959,UNK
англ,англ
mcfarland,mcfarland
2020,UNK
734,UNK
p,p
isbn,isbn
9781476639260,UNK
ссылка,ссылка
cary,cary
grant,grant
англ,англ
на,на
сайте,сайт
internet,internet
movie,movie
database,database
cary,cary
grant,grant
filmography,filmography
англ,англ
allmovie,allmovie
хосе,хосе
анто,анто
нио,нио
кинтани,кинтаня
лья,лья
эскоба,эскоба
р,р
исп,исп
jos,jos
antonio,antonio
quintanilla,quintanilla
escobar,escobar
29,UNK
октября,октябрь
1947,UNK
сонсонате,сонсоната
1977,UNK
ауачапан,ауачапан
сальвадорский,сальвадорский
футболист,футболист
играл,играть
на,на
позиции,позиция
полузащитника,полузащитник
участник,участник
чемпионата,чемпионат
мира,мир
1970,UNK
года,год
кинтанилья,кинтанилья
известен,известный
как,как
автор,автор
победного,победный
гола,гол
в,в
ворота,ворота
сборной,сборная
гондураса,гондурас
который,который
привёл,привести
к,к
шестидневной,шестидневный
футбольной,футбольный
войне,война
с,с
гондурасом,гондурас
биография,биография
клубная,клубный
карьера,карьера
кинтанилья,кинтанилья
основную,основный
часть,часть
футбольной,футбольный
карьеры,карьера
играл,играть
за,за
альянсу,альянс
в,в
составе,состав
которой,который
в,в
1966,UNK
и,и
1967,UNK
годах,год
выиграл,выиграть
два,два
чемпионских,чемпионский
титула,титул
а,а
также,также
кубок,кубок
чемпионов,чемпион
конкакаф,конкакаф
1967,UNK
года,год
в,в
1970,UNK
году,год
кинтанилья,кинтанилья
перешёл,перейти
в,в
атлетико,атлетико
марте,март
с,с
которым,который
в,в
1970,UNK
году,год
завоевал,завоевать
свой,свой
третий,третий
чемпионский,чемпионский
титул,титул
в,в
1971,UNK
году,год
кинтанилья,кинтанилья
перешёл,перейти
в,в
эксельсиор,эксельсиор
в,в
котором,который
играл,играть
два,два
сезона,сезон
в,в
последующие,последующий
годы,год
кинтанилья,кинтанилья
играл,играть
за,за
альянсу,альянс
и,и
онсе,онс
мунисипаль,мунисипаль
который,который
стал,стать
для,для
него,он
последним,последний
клубом,клуб
в,в
жизни,жизнь
карьера,карьера
в,в
сборной,сборная
в,в
составе,состав
сборной,сборная
сальвадора,сальвадор
кинтанилья,кинтанилья
принимал,принимать
участие,участие
на,на
олимпийском,олимпийский
турнире,турнир
1968,UNK
года,год
где,где
сыграл,сыграть
во,в
всех,весь
трёх,три
матчах,матч
группового,групповой
этапа,этап
два,два
из,из
которых,который
завершились,завершиться
поражениями,поражение
сальвадорцев,сальвадорец
26,UNK
июня,июнь
1969,UNK
года,год
кинтанилья,кинтанилья
забил,забить
решающий,решающий
и,и
победный,победный
гол,гол
на,на
101-й,UNK
минуте,минута
в,в
матче,матч
отбора,отбор
на,на
чемпионат,чемпионат
мира,мир
со,с
сборной,сборная
гондураса,гондурас
матч,матч
завершился,завершиться
со,с
счётом,счёт
3,UNK
2,UNK
гол,гол
кинтанильи,кинтанилья
привёл,привести
к,к
тому,тот
что,что
14,UNK
июля,июль
начался,начаться
шестидневный,шестидневный
вооружённый,вооружённый
конфликт,конфликт
между,между
двумя,два
странами,страна
который,который
стал,стать
известен,известный
как,как
футбольная,футбольный
война,война
другие,другой
источники,источник
называют,называть
автором,автор
решающего,решающий
гола,гол
пипо,пипо
родригеса,родригес
принимал,принимать
участие,участие
на,на
чемпионате,чемпионат
мира,мир
1970,UNK
года,год
где,где
сыграл,сыграть
в,в
двух,два
матчах,матч
группового,групповой
этапа,этап
со,с
сборными,сборная
бельгии,бельгия
0,UNK
3,UNK
и,и
мексики,мексика
0,UNK
4,UNK
всего,весь
за,за
сборную,сборная
сальвадора,сальвадор
сыграл,сыграть
22,UNK
матча,матч
в,в
которых,который
забил,забить
1,UNK
гол,гол
гибель,гибель
кинтанилья,кинтанилья
погиб,погибнуть
в,в
1977,UNK
году,год
в,в
дтп,дтп
когда,когда
на,на
своём,свой
автомобиле,автомобиль
ехал,ехать
на,на
тренировку,тренировка
онсе,онс
мунисипаль,мунисипаль
достижения,достижение
альянса,альянс
чемпион,чемпион
сальвадора,сальвадор
2,UNK
1965,UNK
66,UNK
1966,UNK
67,UNK
победитель,победитель
лиги,лига
чемпионов,чемпион
конкакаф,конкакаф
1,UNK
1967,UNK
атлетико,атлетико
марте,март
чемпион,чемпион
сальвадора,сальвадор
1,UNK
1970,UNK
примечания,примечание
сборная,сборная
гондураса,гондурас
по,по
футболу,футбол
исп,исп
selecci,selecci
n,n
de,de
f,f
tbol,tbol
de,de
honduras,honduras
команда,команда
представляющая,представлять
гондурас,гондурас
на,на
международных,международный
футбольных,футбольный
турнирах,турнир
и,и
матчах,матч
управляющая,управлять
организация,организация
национальная,национальный
автономная,автономный
федерация,федерация
футбола,футбол
гондураса,гондурас
член,член
фифа,фифа
с,с
1951,UNK
года,год
наивысшее,высокий
достижение,достижение
в,в
рейтинге,рейтинг
фифа,фифа
было,быть
в,в
сентябре,сентябрь
2001,UNK
года,год
когда,когда
сборная,сборная
поднялась,подняться
на,на
20-е,UNK
место,место
в,в
мире,мир
история,история
первый,первый
матч,матч
сборная,сборная
гондураса,гондурас
провела,провести
в,в
1921,UNK
году,год
и,и
была,быть
разгромлена,разгромить
гватемалой,гватемала
1,UNK
10,UNK
длительное,длительный
время,время
гондурас,гондурас
не,не
мог,мочь
похвастаться,похвастаться
большими,больший
успехами,успех
ограничиваясь,ограничиваться
локальными,локальный
удачами,удача
такими,такой
как,как
победа,победа
над,над
слабой,слабый
сборной,сборная
никарагуа,никарагуа
в,в
1946,UNK
году,год
со,с
счётом,счёт
13,UNK
0,UNK
начиная,начинать
с,с
1960-х,UNK
годов,год
уровень,уровень
и,и
интерес,интерес
к,к
футболу,футбол
в,в
стране,страна
медленно,медленно
но,но
верно,верно
стал,стать
расти,расти
проигрыш,проигрыш
сборной,сборная
гондураса,гондурас
от,от
сборной,сборная
сальвадора,сальвадор
в,в
1969,UNK
году,год
в,в
полуфинале,полуфинал
отборочного,отборочный
этапа,этап
чемпионата,чемпионат
мира,мир
по,по
футболу,футбол
явился,явиться
одним,один
из,из
непосредственных,непосредственный
поводов,повод
к,к
футбольной,футбольный
войне,война
вооружённому,вооружённый
конфликту,конфликт
между,между
этими,этот
странами,страна
первый,первый
золотой,золотой
период,период
в,в
истории,история
сборной,сборная
гондураса,гондурас
пришёлся,прийтись
на,на
начало,начало
1980-х,UNK
годов,год
гондурас,гондурас
был,быть
выбран,выбрать
местом,место
проведения,проведение
чемпионата,чемпионат
конкакаф,конкакаф
для,для
сборных,сборный
ныне,ныне
именуемый,именовать
золотой,золотой
кубок,кубок
конкакаф,конкакаф
гондурасцы,гондурасец
блестяще,блестяще
провели,провести
турнир,турнир
обыграв,обыграть
все,всё
сборные,сборный
занявшие,занять
в,в
таблице,таблица
места,место
ниже,ниже
4-го,UNK
4,UNK
0,UNK
гаити,гаити
2,UNK
0,UNK
куба,куба
2,UNK
1,UNK
канада,канада
сыграв,сыграть
вничью,вничью
0,UNK
0,UNK
с,с
двумя,два
призёрами,призёр
турнира,турнир
сальвадором,сальвадор
и,и
мексикой,мексика
стали,стать
победителями,победитель
турнира,турнир
впервые,впервые
в,в
своей,свой
истории,история
поскольку,поскольку
чемпионат,чемпионат
конкакаф,конкакаф
1981,UNK
года,год
был,быть
одновременно,одновременно
отборочным,отборочный
турниром,турнир
к,к
чемпионату,чемпионат
мира,мир
1982,UNK
года,год
гондурас,гондурас
отправился,отправиться
вместе,вместе
со,с
вторым,второй
призёром,призёр
сальвадором,сальвадор
защищать,защищать
честь,честь
северной,северный
центральной,центральный
америки,америка
и,и
стран,страна
карибского,карибский
бассейна,бассейн
в,в
испанию,испания
команда,команда
достойно,достойно
провела,провести
турнир,турнир
хотя,хотя
и,и
не,не
смогла,смочь
выйти,выйти
из,из
группы,группа
были,быть
добыты,добыть
ничьи,ничья
с,с
хозяевами,хозяин
турнира,турнир
и,и
северной,северный
ирландией,ирландия
по,по
1,UNK
1,UNK
но,но
минимальное,минимальный
поражение,поражение
от,от
югославии,югославия
0,UNK
1,UNK
не,не
позволило,позволить
гондурасу,гондурас
выйти,выйти
в,в
следующий,следующий
раунд,раунд
в,в
1985,UNK
и,и
1991,UNK
годах,год
гондурас,гондурас
дважды,дважды
занимал,занимать
2-е,UNK
место,место
в,в
золотом,золото
кубке,кубок
конкакаф,конкакаф
в,в
2001,UNK
году,год
гондурас,гондурас
пригласили,пригласить
в,в
последний,последний
момент,момент
для,для
участия,участие
в,в
кубке,кубок
америки,америка
прошедшем,прошедшее
в,в
колумбии,колумбия
гондурасцы,гондурасец
в,в
четвертьфинале,четвертьфинал
сенсационно,сенсационно
обыграли,обыграть
сборную,сборная
бразилии,бразилия
а,а
в,в
матче,матч
за,за
3-е,UNK
место,место
обыграли,обыграть
уругвай,уругвай
таким,такой
образом,образ
гондурас,гондурас
занял,занять
призовое,призовой
3-е,UNK
место,место
в,в
своём,свой
единственном,единственный
участии,участие
в,в
одном,один
из,из
самых,самый
престижнейших,престижный
футбольных,футбольный
турниров,турнир
мира,мир
впоследствии,впоследствии
гондурас,гондурас
признавался,признаваться
одной,один
из,из
самых,самый
быстро,быстро
прогрессирующих,прогрессировать
футбольных,футбольный
наций,нация
мира,мир
по,по
версиям,версия
журнала,журнал
world,world
soccer,soccer
мффиис,мффиис
и,и
фифа,фифа
в,в
2009,UNK
году,год
сборная,сборная
гондураса,гондурас
заняла,занять
3-е,UNK
место,место
в,в
финальной,финальный
отборочной,отборочный
группе,группа
конкакаф,конкакаф
и,и
во,в
второй,второй
раз,раз
в,в
своей,свой
истории,история
участвовала,участвовать
в,в
финальной,финальный
стадии,стадия
чемпионата,чемпионат
мира,мир
по,по
футболу,футбол
2010,UNK
в,в
юар,юар
где,где
взяла,взять
только,только
одно,один
очко,очко
сыграв,сыграть
вничью,вничью
со,с
швейцарией,швейцария
0,UNK
0,UNK
две,два
оставшихся,остаться
встречи,встреча
с,с
чили,чили
и,и
испанией,испания
катра,катр
чос,чос
проиграли,проиграть
и,и
заняли,занять
последнее,последний
место,место
в,в
группе,группа
не,не
забив,забить
ни,ни
одного,один
мяча,мяч
в,в
2019,UNK
году,год
сборная,сборная
установила,установить
уникальное,уникальный
достижение,достижение
на,на
золотом,золото
кубке,кубок
конкакаф,конкакаф
гондурас,гондурас
занял,занять
последнее,последний
место,место
в,в
своей,свой
группе,группа
но,но
при,при
этом,это
забил,забить
больше,большой
чем,чем
остальные,остальной
команды,команда
в,в
группе,группа
он,он
забил,забить
6,UNK
мячей,мяч
в,в
то,то
время,время
ямайка,ямайка
забила,забить
4,UNK
гола,гол
1,UNK
место,место
кюрасао,кюрасао
2,UNK
мяча,мяч
2,UNK
место,место
а,а
сальвадор,сальвадор
3,UNK
место,место
поразил,поразить
ворота,ворота
соперников,соперник
лишь,лишь
единожды,единожды
состав,состав
сборной,сборная
следующие,следующий
игроки,игрок
были,быть
вызваны,вызвать
в,в
состав,состав
сборной,сборная
главным,главный
тренером,тренер
эрнаном,эрнан
дарио,дарио
гомесом,гомес
для,для
участия,участие
в,в
матчах,матч
отборочного,отборочный
турнира,турнир
чемпионата,чемпионат
мира,мир
2022,UNK
против,против
сборной,сборная
канады,канада
27,UNK
января,январь
2022,UNK
сборной,сборная
сальвадора,сальвадор
30,UNK
января,январь
2022,UNK
и,и
сборной,сборная
сша,сша
2,UNK
февраля,февраль
2022,UNK
игры,игра
и,и
голы,голый
приведены,привести
по,по
состоянию,состояние
на,на
16,UNK
января,январь
2022,UNK
года,год
участие,участие
в,в
турнирах,турнир
титулы,титул
и,и
достижения,достижение
чемпионат,чемпионат
наций,нация
конкакаф,конкакаф
1981,UNK
бронзовый,бронзовый
призёр,призёр
кубка,кубок
америки,америка
2001,UNK
участник,участник
финальных,финальный
стадий,стадия
чемпионатов,чемпионат
мира,мир
3,UNK
1982,UNK
2010,UNK
2014,UNK
центральноамериканский,центральноамериканский
кубок,кубок
3,UNK
1993,UNK
1995,UNK
2011,UNK
форма,форма
домашняя,домашний
гостевая,гостевой
резервная,резервный
источники,источник
примечания,примечание
ссылки,ссылка
официальный,официальный
сайт,сайт
федерации,федерация
футбола,футбол
гондураса,гондурас
исп,исп
сборная,сборная
гондураса,гондурас
на,на
сайте,сайт
фифа,фифа
англ,англ
футбольная,футбольный
война,война
исп,исп
guerra,guerra
del,del
f,f
tbol,tbol
также,также
известная,известный
как,как
сточасовая,сточасовой
война,война
скоротечный,скоротечный
военный,военный
конфликт,конфликт
между,между
сальвадором,сальвадор
и,и
гондурасом,гондурас
продолжавшийся,продолжаться
шесть,шесть
дней,день
с,с
14,UNK
по,по
20,UNK
июля,июль
1969,UNK
года,год
непосредственным,непосредственный
поводом,повод
к,к
войне,война
послужил,послужить
проигрыш,проигрыш
команды,команда
гондураса,гондурас
команде,команда
сальвадора,сальвадор
в,в
матчах,матч
плей-офф,UNK
отборочного,отборочный
этапа,этап
чемпионата,чемпионат
мира,мир
по,по
футболу,футбол
чем,чем
и,и
объясняется,объясняться
данное,данный
конфликту,конфликт
название,название
несмотря,несмотря
на,на
скоротечность,скоротечность
война,война
дорого,дорого
обошлась,обойтись
обеим,оба
сторонам,сторона
общие,общий
потери,потеря
составили,составить
несколько,несколько
тысяч,тысяча
человек,человек
был,быть
расстроен,расстроить
региональный,региональный
интеграционный,интеграционный
проект,проект
центральноамериканского,центральноамериканский
общего,общий
рынка,рынок
предыстория,предыстория
и,и
причины,причина
одной,один
из,из
причин,причина
войны,война
был,быть
давний,давний
начавшийся,начаться
в,в
xix,xix
веке,век
спор,спор
между,между
двумя,два
странами,страна
относительно,относительно
демаркации,демаркация
границы,граница
кроме,кроме
того,тот
правительство,правительство
и,и
деловые,деловой
круги,круг
гондураса,гондурас
были,быть
раздражены,раздражить
существенными,существенный
торговыми,торговый
преимуществами,преимущество
которые,который
с,с
начала,начало
1960-х,UNK
годов,год
оказались,оказаться
предоставлены,предоставить
более,более
развитой,развитой
сальвадорской,сальвадорский
экономике,экономика
по,по
правилам,правило
организации,организация
центральноамериканского,центральноамериканский
общего,общий
рынка,рынок
первоначально,первоначально
после,после
подписания,подписание
в,в
июне,июнь
1958,UNK
года,год
договора,договор
о,о
свободной,свободный
торговле,торговля
и,и
экономической,экономический
интеграции,интеграция
между,между
четырьмя,четыре
странами,страна
центральной,центральный
америки,америка
на,на
основе,основа
которого,который
после,после
подписания,подписание
16,UNK
декабря,декабрь
1960,UNK
года,год
дополнительного,дополнительный
соглашения,соглашение
возник,возникнуть
цаор,цаор
преимущества,преимущество
получили,получить
наиболее,наиболее
промышленно,промышленно
развитые,развитой
страны,страна
гондурас,гондурас
и,и
сальвадор,сальвадор
но,но
в,в
дальнейшем,дальнейший
промышленность,промышленность
гондураса,гондурас
стала,стать
проигрывать,проигрывать
промышленности,промышленность
сальвадора,сальвадор
для,для
стабилизации,стабилизация
экономического,экономический
положения,положение
в,в
стране,страна
правительство,правительство
гондураса,гондурас
было,быть
вынуждено,вынудить
ввести,ввести
чрезвычайные,чрезвычайный
налоги,налог
на,на
товары,товар
широкого,широкий
потребления,потребление
сначала,сначала
в,в
размере,размер
3,UNK
затем,затем
они,они
были,быть
увеличены,увеличить
к,к
1969,UNK
году,год
задолженность,задолженность
гондураса,гондурас
сальвадору,сальвадор
составляла,составлять
почти,почти
половину,половина
от,от
суммы,сумма
задолженности,задолженность
гондураса,гондурас
всем,весь
странам,страна
цаор,цаор
начало,начало
войны,война
позволяло,позволять
правительству,правительство
гондураса,гондурас
не,не
только,только
ликвидировать,ликвидировать
вопрос,вопрос
о,о
задолженности,задолженность
но,но
и,и
укрепить,укрепить
экономическое,экономический
положение,положение
страны,страна
за,за
счёт,счёт
имущества,имущество
сальвадорцев,сальвадорец
ещё,ещё
один,один
комплекс,комплекс
проблем,проблема
был,быть
связан,связать
с,с
сальвадорскими,сальвадорский
поселенцами,поселенец
на,на
территории,территория
гондураса,гондурас
сальвадор,сальвадор
являлся,являться
самым,самый
малым,малое
по,по
площади,площадь
и,и
самым,самый
густонаселённым,густонаселённый
из,из
всех,весь
центральноамериканских,центральноамериканский
государств,государство
обладал,обладать
более,более
развитой,развитой
экономикой,экономика
но,но
испытывал,испытывать
острую,острый
нехватку,нехватка
пригодных,пригодный
для,для
обработки,обработка
земель,земля
большая,больший
часть,часть
земли,земля
в,в
сальвадоре,сальвадор
контролировалась,контролироваться
крупными,крупный
землевладельцами,землевладелец
что,что
приводило,приводить
к,к
земельному,земельный
голоду,голод
и,и
миграции,миграция
безземельных,безземельный
крестьян,крестьянин
в,в
соседний,соседний
гондурас,гондурас
гондурас,гондурас
по,по
территории,территория
был,быть
гораздо,гораздо
больше,большой
соседа,сосед
не,не
так,так
густо,густо
населён,населить
и,и
слабее,слабый
развит,развитой
экономически,экономически
однако,однако
свыше,свыше
200,UNK
тысяч,тысяча
гектаров,гектар
18,UNK
земель,земля
сельскохозяйственного,сельскохозяйственный
назначения,назначение
находилось,находиться
в,в
собственности,собственность
компаний,компания
сша,сша
что,что
увеличивало,увеличивать
земельный,земельный
голод,голод
в,в
стране,страна
переселение,переселение
сальвадорцев,сальвадорец
в,в
гондурас,гондурас
в,в
поисках,поиск
свободных,свободный
земель,земля
и,и
заработка,заработок
началось,начаться
в,в
1930-е,UNK
годы,год
большинство,большинство
мигрантов,мигрант
прибывали,прибывать
в,в
страну,страна
незаконно,незаконно
они,они
занимали,занимать
пустующие,пустовать
земли,земля
и,и
начинали,начинать
их,они
обрабатывать,обрабатывать
таким,такой
образом,образ
возникали,возникать
целые,целый
нелегальные,нелегальный
поселения,поселение
переселенцы,переселенец
из,из
сальвадора,сальвадор
соглашались,соглашаться
работать,работать
на,на
банановых,банановый
плантациях,плантация
за,за
меньшую,малый
плату,плата
чем,чем
местные,местный
крестьяне,крестьянин
что,что
привело,привести
к,к
росту,рост
антисальвадорских,антисальвадорский
настроений,настроение
в,в
гондурасе,гондурас
летом,лето
1961,UNK
года,год
на,на
территории,территория
гондураса,гондурас
в,в
районе,район
населённого,населить
пункта,пункт
асьенда-де-долорес,UNK
произошло,произойти
столкновение,столкновение
группы,группа
сальвадорцев,сальвадорец
с,с
патрулём,патруль
гражданской,гражданский
гвардии,гвардия
гондураса,гондурас
в,в
ходе,ход
которого,который
был,быть
застрелен,застрелить
гражданин,гражданин
сальвадора,сальвадор
альберто,альберто
чавес,чавес
alberto,alberto
ch,ch
vez,vez
этот,этот
инцидент,инцидент
привёл,привести
к,к
ухудшению,ухудшение
отношений,отношение
между,между
странами,страна
19,UNK
июня,июнь
1961,UNK
года,год
правительство,правительство
сальвадора,сальвадор
официально,официально
потребовало,потребовать
от,от
правительства,правительство
гондураса,гондурас
провести,провести
расследование,расследование
обстоятельств,обстоятельство
гибели,гибель
сальвадорца,сальвадорец
в,в
сентябре,сентябрь
1962,UNK
года,год
правительство,правительство
гондураса,гондурас
приняло,принять
закон,закон
о,о
земельной,земельный
реформе,реформа
в,в
соответствии,соответствие
с,с
которой,который
началось,начаться
перераспределение,перераспределение
земель,земля
занятых,занятой
нелегальными,нелегальный
мигрантами,мигрант
в,в
пользу,польза
граждан,гражданин
гондураса,гондурас
при,при
этом,это
просьбы,просьба
сальвадорцев,сальвадорец
о,о
предоставлении,предоставление
им,они
гражданства,гражданство
оставались,оставаться
без,без
рассмотрения,рассмотрение
после,после
того,тот
как,как
власти,власть
гондураса,гондурас
начали,начать
депортацию,депортация
сальвадорцев,сальвадорец
с,с
территории,территория
страны,страна
отношения,отношение
между,между
сальвадором,сальвадор
и,и
гондурасом,гондурас
стали,стать
ещё,ещё
более,более
напряжёнными,напрячь
в,в
1966,UNK
году,год
крупными,крупный
землевладельцами,землевладелец
гондураса,гондурас
была,быть
создана,создать
федерация,федерация
землевладельцев,землевладелец
и,и
животноводов,животновод
которая,который
выступала,выступать
против,против
предоставления,предоставление
земли,земля
сальвадорцам,сальвадорец
в,в
начале,начало
июня,июнь
1967,UNK
года,год
пограничная,пограничный
охрана,охрана
гондураса,гондурас
задержала,задержать
два,два
военных,военный
грузовика,грузовик
армии,армия
сальвадора,сальвадор
что,что
ухудшило,ухудшить
отношения,отношение
между,между
странами,страна
эскалация,эскалация
конфликта,конфликт
напряжение,напряжение
в,в
двусторонних,двусторонний
отношениях,отношение
постепенно,постепенно
усиливалось,усиливаться
в,в
течение,течение
двух,два
предшествующих,предшествовать
конфликту,конфликт
лет,год
режим,режим
гондурасского,гондурасский
президента,президент
освальдо,освальдо
лопеса,лопес
арельяно,арельяно
1963,UNK
1971,UNK
испытывал,испытывать
значительные,значительный
экономические,экономический
и,и
политические,политический
трудности,трудность
и,и
решил,решить
использовать,использовать
сальвадорских,сальвадорский
поселенцев,поселенец
в,в
качестве,качество
удобного,удобный
козла,козёл
отпущения,отпущение
обе,оба
страны,страна
испытывали,испытывать
значительные,значительный
экономические,экономический
трудности,трудность
обе,оба
управлялись,управляться
военными,военный
оба,оба
правительства,правительство
стремились,стремиться
отвлечь,отвлечь
внимание,внимание
населения,население
от,от
насущных,насущный
внутриполитических,внутриполитический
и,и
экономических,экономический
проблем,проблема
особенно,особенно
сложной,сложный
была,быть
обстановка,обстановка
в,в
гондурасе,гондурас
где,где
в,в
сентябре,сентябрь
1968,UNK
года,год
на,на
северном,северный
побережье,побережье
вспыхнула,вспыхнуть
забастовка,забастовка
сельскохозяйственных,сельскохозяйственный
рабочих,рабочий
к,к
которой,который
присоединились,присоединиться
рабочие,рабочий
промышленных,промышленный
предприятий,предприятие
мелкие,мелкий
торговцы,торговец
ремесленники,ремесленник
и,и
студенты,студент
столичного,столичный
университета,университет
правительство,правительство
объявило,объявить
в,в
стране,страна
осадное,осадный
положение,положение
и,и
направило,направить
почти,почти
все,всё
силы,сила
полиции,полиция
и,и
армии,армия
на,на
подавление,подавление
забастовки,забастовка
в,в
результате,результат
протесты,протест
были,быть
подавлены,подавить
к,к
1969,UNK
году,год
на,на
территории,территория
гондураса,гондурас
проживало,проживать
около,около
200,UNK
тысяч,тысяча
сальвадорцев,сальвадорец
и,и
гуанако,гуанако
выходцев,выходец
из,из
сальвадора,сальвадор
многие,многие
из,из
которых,который
проживали,проживать
на,на
территории,территория
гондураса,гондурас
длительное,длительный
время,время
при,при
этом,это
не,не
более,более
50,UNK
тысяч,тысяча
из,из
них,они
являлись,являться
гражданами,гражданин
гондураса,гондурас
или,или
имели,иметь
иные,иной
документы,документ
легализовавшие,легализовать
их,они
статус,статус
на,на
территории,территория
гондураса,гондурас
в,в
январе,январь
1969,UNK
года,год
правительство,правительство
отказалось,отказаться
продлить,продлить
заключённый,заключить
в,в
1967,UNK
году,год
двусторонний,двусторонний
договор,договор
с,с
сальвадором,сальвадор
об,о
иммиграции,иммиграция
в,в
апреле,апрель
оно,оно
заявило,заявить
о,о
намерении,намерение
лишать,лишать
собственности,собственность
и,и
высылать,высылать
из,из
страны,страна
тех,тот
кто,кто
приобрёл,приобрести
землю,земля
в,в
рамках,рамка
аграрной,аграрный
реформы,реформа
не,не
предоставив,предоставить
требуемые,требовать
законом,закон
доказательства,доказательство
того,тот
что,что
приобретатель,приобретатель
является,являться
гражданином,гражданин
гондураса,гондурас
по,по
рождению,рождение
в,в
средствах,средство
массовой,массовый
информации,информация
была,быть
развёрнута,развернуть
кампания,кампания
объясняющая,объяснять
рост,рост
безработицы,безработица
и,и
снижение,снижение
зарплат,зарплата
наплывом,наплыв
рабочих-мигрантов,UNK
из,из
сальвадора,сальвадор
в,в
апреле,апрель
1969,UNK
года,год
в,в
гондурасе,гондурас
начали,начать
массово,массово
выселять,выселять
и,и
депортировать,депортировать
сальвадорских,сальвадорский
поселенцев,поселенец
и,и
мигрантов,мигрант
в,в
конце,конец
мая,май
из,из
гондураса,гондурас
в,в
перенаселённый,перенаселить
сальвадор,сальвадор
потянулся,потянуться
поток,поток
лишённых,лишённый
собственности,собственность
мигрантов,мигрант
изображения,изображение
беженцев,беженец
и,и
их,они
рассказы,рассказ
заполнили,заполнить
страницы,страница
сальвадорских,сальвадорский
газет,газета
и,и
экраны,экран
телевизоров,телевизор
начали,начать
циркулировать,циркулировать
слухи,слух
