token,lemma
и,и
вошла,войти
в,в
историю,история
благодаря,благодаря
культовой,культовый
сцене,сцена
",",UNK
когда,когда
герой,герой
гранта,грант
убегает,убегать
от,от
атакующего,атаковать
его,его
самолёта,самолет
на,на
кукурузном,кукурузный
поле,поле
.,UNK
также,также
заметной,заметный
работой,работа
актёра,актер
в,в
конце,конец
1950-х,UNK
годов,год
стала,стать
роль,роль
коммандера-лейтенанта,UNK
мэттью,мэттью
шермана,шерман
в,в
картине,картина
«,UNK
операция,операция
„,UNK
нижняя,нижний
юбка,юбка
“,UNK
»,UNK
(,UNK
1959,UNK
),UNK
.,UNK
в,в
1960,UNK
году,год
грант,грант
присоединился,присоединиться
к,к
звёздному,звездный
актёрскому,актерский
составу,состав
",",UNK
в,в
который,который
входили,входить
дебора,дебора
керр,керра
",",UNK
роберт,роберт
митчем,митч
и,и
джин,джин
симмонс,симмонс
для,для
работы,работа
над,над
фильмом,фильм
стэнли,стэнли
донена,донен
«,UNK
трава,трава
зеленее,зеленее
»,UNK
.,UNK
фильм,фильм
не,не
достиг,достигнуть
ожидаемого,ожидать
успеха,успех
ни,ни
среди,среди
критиков,критик
",",UNK
ни,ни
среди,среди
зрителей,зритель
.,UNK
два,два
года,год
спустя,спустя
грант,грант
вместе,вместе
с,с
дорис,дорис
дэй,дэя
снялся,сняться
в,в
фильме,фильм
«,UNK
этот,этот
мех,мех
норки,норка
»,UNK
",",UNK
который,который
получил,получить
высокую,высокий
оценку,оценка
критиков,критик
",",UNK
а,а
также,также
три,три
номинации,номинация
на,на
премию,премия
«,UNK
оскар,оскар
»,UNK
.,UNK
следующие,следующий
фильмы,фильм
с,с
участием,участие
актёра,актер
",",UNK
детективная,детективный
мелодрама,мелодрама
«,UNK
шарада,шарада
»,UNK
(,UNK
1963,UNK
),UNK
с,с
одри,одри
хепбёрн,хепберн
и,и
романтическая,романтический
комедия,комедия
«,UNK
папа,папа
гусь,гусь
»,UNK
(,UNK
1964,UNK
),UNK
",",UNK
благосклонно,благосклонно
были,быть
приняты,принять
кинокритиками,кинокритик
.,UNK
последней,последний
ролью,роль
гранта,грант
в,в
кино,кино
стала,стать
роль,роль
британского,британский
промышленника,промышленник
сэра,сэр
уильяма,уильям
ратленда,ратленд
в,в
фильме,фильм
«,UNK
иди,идти
",",UNK
а,а
не,не
беги,бежать
»,UNK
(,UNK
1966,UNK
),UNK
.,UNK
после,после
завершения,завершение
съёмок,съемка
этого,этот
фильма,фильм
",",UNK
грант,грант
окончательно,окончательно
ушёл,уйти
из,из
киноиндустрии,киноиндустрия
",",UNK
начав,начать
заниматься,заниматься
предпринимательской,предпринимательский
деятельностью,деятельность
.,UNK
=,UNK
=,UNK
фильмография,фильмография
в,в
кинематографе,кинематограф
=,UNK
=,UNK
=,UNK
=,UNK
=,UNK
художественные,художественный
фильмы,фильм
=,UNK
=,UNK
=,UNK
a↑,UNK
↑,UNK
↑,UNK
↑,UNK
↑,UNK
↑,UNK
↑,UNK
↑,UNK
↑,UNK
↑,UNK
фильмы,фильм
",",UNK
внесённые,внести
в,в
национальный,национальный
реестр,реестр
фильмов,фильм
библиотеки,библиотека
конгресса,конгресс
сша,сша
.,UNK
=,UNK
=,UNK
=,UNK
=,UNK
другие,другой
появления,появление
=,UNK
=,UNK
=,UNK
=,UNK
=,UNK
=,UNK
=,UNK
документальные,документальный
и,и
короткометражные,короткометражный
фильмы,фильм
=,UNK
=,UNK
=,UNK
a,a
↑,UNK
↑,UNK
↑,UNK
↑,UNK
↑,UNK
↑,UNK
↑,UNK
короткометражный,короткометражный
фильм,фильм
.,UNK
b,b
↑,UNK
↑,UNK
↑,UNK
↑,UNK
↑,UNK
↑,UNK
↑,UNK
короткометражный,короткометражный
документальный,документальный
фильм,фильм
.,UNK
c,c
↑,UNK
↑,UNK
↑,UNK
↑,UNK
↑,UNK
↑,UNK
документальный,документальный
фильм,фильм
.,UNK
=,UNK
=,UNK
радио,радио
=,UNK
=,UNK
помимо,помимо
съёмок,съемка
в,в
кино,кино
",",UNK
грант,грант
также,также
работал,работать
на,на
радио,радио
.,UNK
он,он
впервые,впервые
появился,появиться
в,в
эфире,эфир
в,в
1935,UNK
году,год
и,и
продолжал,продолжать
выступать,выступать
в,в
радиопередачах,радиопередача
в,в
течение,течение
следующих,следующий
двадцати,двадцать
лет,год
.,UNK
грант,грант
регулярно,регулярно
появлялся,появляться
в,в
таких,такой
программах,программа
",",UNK
как,как
«,UNK
радиотеатр,радиотеатр
люкс,люкс
»,UNK
",",UNK
«,UNK
театр,театр
гильдии,гильдия
киноактёров,киноактер
»,UNK
",",UNK
«,UNK
серебряный,серебряный
театр,театр
»,UNK
",",UNK
где,где
исполнял,исполнять
различные,различный
роли,роль
в,в
радиоспектаклях,радиоспектакль
",",UNK
включая,включая
адаптации,адаптация
своих,свой
успешных,успешный
фильмов,фильм
.,UNK
также,также
он,он
часто,часто
появлялся,появляться
в,в
качестве,качество
приглашённого,пригласить
гостя,гость
на,на
различных,различный
развлекательных,развлекательный
шоу,шоу
",",UNK
как,как
«,UNK
шоу,шоу
эдди,эдди
кантора,кантор
»,UNK
и,и
«,UNK
шоу,шоу
бёрнса,бернс
и,и
аллена,аллен
»,UNK
.,UNK
=,UNK
=,UNK
театр,театр
=,UNK
=,UNK
=,UNK
=,UNK
кинонаграды,кинонаграда
и,и
наследие,наследие
=,UNK
=,UNK
десять,десять
фильмов,фильм
с,с
участием,участие
кэри,кэри
гранта,грант
были,быть
внесены,внести
в,в
национальный,национальный
реестр,реестр
фильмов,фильм
библиотеки,библиотека
конгресса,конгресс
сша,сша
.,UNK
среди,среди
них,они
три,три
фильма,фильм
:,UNK
«,UNK
воспитание,воспитание
крошки,крошка
»,UNK
(,UNK
1938,UNK
),UNK
",",UNK
«,UNK
филадельфийская,филадельфийский
история,история
»,UNK
(,UNK
1940,UNK
),UNK
и,и
«,UNK
к,к
северу,север
через,через
северо-запад,UNK
»,UNK
(,UNK
1959,UNK
),UNK
входят,входить
в,в
список,список
«,UNK
100,UNK
величайших,великий
американских,американский
кинофильмов,кинофильм
»,UNK
по,по
версии,версия
американского,американский
института,институт
киноискусства,киноискусство
(,UNK
afi,afi
),UNK
.,UNK
также,также
два,два
фильма,фильм
«,UNK
дурная,дурной
слава,слава
»,UNK
(,UNK
1946,UNK
),UNK
и,и
«,UNK
к,к
северу,север
через,через
северо-запад,UNK
»,UNK
(,UNK
1959,UNK
),UNK
попали,попасть
в,в
список,список
«,UNK
100,UNK
величайших,великий
фильмов,фильм
всех,весь
времён,время
»,UNK
составленном,составить
журналом,журнал
entertainment,entertainment
weekly,weekly
.,UNK
согласно,согласно
рейтинговым,рейтинговый
спискам,список
",",UNK
составленным,составить
afi,afi
",",UNK
восемь,восемь
фильмов,фильм
",",UNK
среди,среди
которых,который
:,UNK
«,UNK
она,она
обошлась,обойтись
с,с
ним,он
нечестно,нечестно
»,UNK
(,UNK
1933,UNK
),UNK
",",UNK
«,UNK
топпер,топпер
»,UNK
(,UNK
1937,UNK
),UNK
",",UNK
«,UNK
ужасная,ужасный
правда,правда
»,UNK
(,UNK
1937,UNK
),UNK
",",UNK
«,UNK
воспитание,воспитание
крошки,крошка
»,UNK
(,UNK
1938,UNK
),UNK
",",UNK
«,UNK
филадельфийская,филадельфийский
история,история
»,UNK
(,UNK
1940,UNK
),UNK
",",UNK
«,UNK
его,он
девушка,девушка
пятница,пятница
»,UNK
(,UNK
1940,UNK
),UNK
",",UNK
«,UNK
мышьяк,мышьяк
и,и
старые,старый
кружева,кружево
»,UNK
(,UNK
1944,UNK
),UNK
",",UNK
«,UNK
мистер,мистер
блэндингз,блэндингз
строит,строить
дом,дом
своей,свой
мечты,мечта
»,UNK
(,UNK
1948,UNK
),UNK
входят,входить
в,в
список,список
«,UNK
100,UNK
самых,самый
смешных,смешной
американских,американский
фильмов,фильм
»,UNK
.,UNK
шесть,шесть
его,его
фильмов,фильм
",",UNK
в,в
том,тот
числе,число
«,UNK
дурная,дурной
слава,слава
»,UNK
(,UNK
1946,UNK
),UNK
«,UNK
поймать,поймать
вора,вор
»,UNK
(,UNK
1955,UNK
),UNK
",",UNK
«,UNK
незабываемый,незабываемый
роман,роман
»,UNK
(,UNK
1957,UNK
),UNK
были,быть
включены,включить
в,в
рейтинг,рейтинг
«,UNK
100,UNK
самых,самый
страстных,страстный
американских,американский
фильмов,фильм
»,UNK
.,UNK
сам,сам
актёр,актер
занял,занять
второе,второй
место,место
после,после
хамфри,хамфри
богарта,богарт
в,в
списке,список
«,UNK
100,UNK
величайших,великий
звёзд,звезда
кино,кино
за,за
100,UNK
лет,год
»,UNK
.,UNK
за,за
свою,свой
46-летнюю,UNK
актёрскую,актерский
карьеру,карьера
кэри,кэри
грант,грант
был,быть
номинирован,номинировать
дважды,дважды
на,на
премию,премия
«,UNK
оскар,оскар
»,UNK
",",UNK
пять,пять
раз,раз
на,на
«,UNK
золотой,золотой
глобус,глобус
»,UNK
и,и
единственный,единственный
раз,раз
на,на
премию,премия
bafta,bafta
",",UNK
а,а
также,также
был,быть
удостоен,удостоить
наград,награда
:,UNK
1960,UNK
—,UNK
давид,давид
ди,ди
донателло,донателло
(,UNK
премия,премия
),UNK
в,в
номинации,номинация
«,UNK
лучший,хороший
иностранный,иностранный
актёр,актер
»,UNK
(,UNK
«,UNK
к,к
северу,север
через,через
северо-запад,UNK
»,UNK
),UNK
;,UNK
1970,UNK
—,UNK
оскар,оскар
—,UNK
за,за
выдающиеся,выдающийся
заслуги,заслуга
в,в
кинематографе,кинематограф
.,UNK
=,UNK
=,UNK
примечания,примечание
=,UNK
=,UNK
комментарии,комментарий
источники,источник
=,UNK
=,UNK
литература,литература
=,UNK
=,UNK
deschner,deschner
",",UNK
donald,donald
.,UNK
the,the
films,films
of,of
cary,cary
grant,grant
(,UNK
англ,англ
.,UNK
),UNK
.,UNK
—,UNK
citadel,citadel
press,press
",",UNK
1973,UNK
.,UNK
—,UNK
276,UNK
p,p
.,UNK
—,UNK
isbn,isbn
9780806503769,UNK
.,UNK
dunning,dunning
",",UNK
john,john
.,UNK
on,on
the,the
air,air
:,UNK
the,the
encyclopedia,encyclopedia
of,of
old-time,UNK
radio,radio
(,UNK
англ,англ
.,UNK
),UNK
.,UNK
—,UNK
usa,usa
:,UNK
oxford,oxford
university,university
press,press
",",UNK
1998,UNK
.,UNK
—,UNK
822,UNK
p,p
.,UNK
—,UNK
isbn,isbn
9780195076783,UNK
.,UNK
eliot,eliot
",",UNK
marc,marc
.,UNK
cary,cary
grant,grant
:,UNK
a,a
biography,biography
(,UNK
англ,англ
.,UNK
),UNK
.,UNK
—,UNK
harmony,harmony
books,books
",",UNK
2004,UNK
.,UNK
—,UNK
435,UNK
p,p
.,UNK
—,UNK
isbn,isbn
9781400050260,UNK
.,UNK
higham,higham
charles,charles
",",UNK
moseley,moseley
roy,roy
.,UNK
cary,cary
grant,grant
:,UNK
the,the
lonely,lonely
heart,heart
(,UNK
англ,англ
.,UNK
),UNK
.,UNK
—,UNK
avon,avon
books,books
",",UNK
1990,UNK
.,UNK
—,UNK
396,UNK
p,p
.,UNK
—,UNK
isbn,isbn
9780380710096,UNK
.,UNK
mccann,mccann
",",UNK
graham,graham
.,UNK
cary,cary
grant,grant
:,UNK
a,a
class,class
apart,apart
(,UNK
англ,англ
.,UNK
),UNK
.,UNK
—,UNK
columbia,columbia
university,university
press,press
",",UNK
1997,UNK
.,UNK
—,UNK
348,UNK
p,p
.,UNK
—,UNK
isbn,isbn
9780231108850,UNK
.,UNK
schickel,schickel
",",UNK
richard,richard
.,UNK
cary,cary
grant,grant
:,UNK
a,a
celebration,celebration
(,UNK
англ,англ
.,UNK
),UNK
.,UNK
—,UNK
pavilion,pavilion
",",UNK
1983,UNK
.,UNK
—,UNK
190,UNK
p,p
.,UNK
—,UNK
isbn,isbn
9780907516255,UNK
.,UNK
vermilye,vermilye
",",UNK
jerry,jerry
.,UNK
cary,cary
grant,grant
.,UNK
—,UNK
galahad,galahad
books,books
",",UNK
1973,UNK
.,UNK
—,UNK
160,UNK
с,с
.,UNK
—,UNK
isbn,isbn
9780883652916,UNK
.,UNK
wansell,wansell
",",UNK
geoffrey,geoffrey
.,UNK
cary,cary
grant,grant
",",UNK
dark,dark
angel,angel
(,UNK
англ,англ
.,UNK
),UNK
.,UNK
—,UNK
arcade,arcade
pub,pub
",",UNK
1996,UNK
.,UNK
—,UNK
192,UNK
p,p
.,UNK
—,UNK
isbn,isbn
9781559703697,UNK
.,UNK
webb,webb
",",UNK
graham,graham
.,UNK
encyclopedia,encyclopedia
of,of
american,american
short,short
films,films
",",UNK
1926-1959,UNK
(,UNK
англ,англ
.,UNK
),UNK
.,UNK
—,UNK
mcfarland,mcfarland
",",UNK
2020,UNK
.,UNK
—,UNK
734,UNK
p,p
.,UNK
—,UNK
isbn,isbn
9781476639260,UNK
.,UNK
=,UNK
=,UNK
ссылка,ссылка
=,UNK
=,UNK
cary,cary
grant,grant
(,UNK
англ,англ
.,UNK
),UNK
на,на
сайте,сайт
internet,internet
movie,movie
database,database
cary,cary
grant,grant
—,UNK
filmography,filmography
(,UNK
англ,англ
.,UNK
),UNK
.,UNK
allmovie,allmovie
.,UNK
хосе́,UNK
анто́нио,UNK
кинтани́лья,UNK
эскоба́р,UNK
(,UNK
исп,исп
.,UNK
josé,josé
antonio,antonio
quintanilla,quintanilla
escobar,escobar
;,UNK
29,UNK
октября,октябрь
1947,UNK
",",UNK
сонсонате,сонсонат
—,UNK
1977,UNK
",",UNK
ауачапан,ауачапан
),UNK
—,UNK
сальвадорский,сальвадорский
футболист,футболист
",",UNK
играл,играть
на,на
позиции,позиция
полузащитника,полузащитник
",",UNK
участник,участник
чемпионата,чемпионат
мира,мир
1970,UNK
года,год
.,UNK
кинтанилья,кинтанилья
известен,известный
",",UNK
как,как
автор,автор
победного,победный
гола,гол
в,в
ворота,ворота
сборной,сборная
гондураса,гондурас
",",UNK
который,который
привёл,привести
к,к
шестидневной,шестидневный
«,UNK
футбольной,футбольный
войне,война
»,UNK
с,с
гондурасом,гондурас
.,UNK
=,UNK
=,UNK
биография,биография
=,UNK
=,UNK
=,UNK
=,UNK
=,UNK
клубная,клубный
карьера,карьера
=,UNK
=,UNK
=,UNK
кинтанилья,кинтанилья
основную,основный
часть,часть
футбольной,футбольный
карьеры,карьера
играл,играть
за,за
«,UNK
альянсу,альянс
»,UNK
",",UNK
в,в
составе,состав
которой,который
в,в
1966,UNK
и,и
1967,UNK
годах,год
выиграл,выиграть
два,два
чемпионских,чемпионский
титула,титул
",",UNK
а,а
также,также
кубок,кубок
чемпионов,чемпион
конкакаф,конкакаф
1967,UNK
года,год
.,UNK
в,в
1970,UNK
году,год
кинтанилья,кинтанилья
перешёл,перейти
в,в
«,UNK
атлетико,атлетико
марте,март
»,UNK
",",UNK
с,с
которым,который
в,в
1970,UNK
году,год
завоевал,завоевать
свой,свой
третий,третий
чемпионский,чемпионский
титул,титул
.,UNK
в,в
1971,UNK
году,год
кинтанилья,кинтанилья
перешёл,перейти
в,в
«,UNK
эксельсиор,эксельсиор
»,UNK
",",UNK
в,в
котором,который
играл,играть
два,два
сезона,сезон
.,UNK
в,в
последующие,последующий
годы,год
кинтанилья,кинтанилья
играл,играть
за,за
«,UNK
альянсу,альянс
»,UNK
и,и
«,UNK
онсе,онс
мунисипаль,мунисипаль
»,UNK
",",UNK
который,который
стал,стать
для,для
него,он
последним,последний
клубом,клуб
в,в
жизни,жизнь
.,UNK
=,UNK
=,UNK
=,UNK
карьера,карьера
в,в
сборной,сборная
=,UNK
=,UNK
=,UNK
в,в
составе,состав
сборной,сборная
сальвадора,сальвадор
кинтанилья,кинтанилья
принимал,принимать
участие,участие
на,на
олимпийском,олимпийский
турнире,турнир
1968,UNK
года,год
",",UNK
где,где
сыграл,сыграть
во,в
всех,весь
трёх,три
матчах,матч
группового,групповой
этапа,этап
",",UNK
два,два
из,из
которых,который
завершились,завершиться
поражениями,поражение
сальвадорцев,сальвадорец
.,UNK
26,UNK
июня,июнь
1969,UNK
года,год
кинтанилья,кинтанилья
забил,забить
решающий,решающий
и,и
победный,победный
гол,гол
на,на
101-й,UNK
минуте,минута
в,в
матче,матч
отбора,отбор
на,на
чемпионат,чемпионат
мира,мир
со,с
сборной,сборная
гондураса,гондурас
;,UNK
матч,матч
завершился,завершиться
со,с
счётом,счет
3,UNK
:,UNK
2,UNK
.,UNK
гол,гол
кинтанильи,кинтанилья
привёл,привести
к,к
тому,тот
",",UNK
что,что
14,UNK
июля,июль
начался,начаться
шестидневный,шестидневный
вооружённый,вооруженный
конфликт,конфликт
между,между
двумя,два
странами,страна
",",UNK
который,который
стал,стать
известен,известный
как,как
«,UNK
футбольная,футбольный
война,война
»,UNK
.,UNK
другие,другой
источники,источник
называют,называть
автором,автор
решающего,решающий
гола,гол
«,UNK
пипо,пипо
»,UNK
родригеса,родригес
.,UNK
принимал,принимать
участие,участие
на,на
чемпионате,чемпионат
мира,мир
1970,UNK
года,год
",",UNK
где,где
сыграл,сыграть
в,в
двух,два
матчах,матч
группового,групповой
этапа,этап
со,с
сборными,сборная
бельгии,бельгия
(,UNK
0,UNK
:,UNK
3,UNK
),UNK
и,и
мексики,мексика
(,UNK
0,UNK
:,UNK
4,UNK
),UNK
.,UNK
всего,всего
за,за
сборную,сборная
сальвадора,сальвадор
сыграл,сыграть
22,UNK
матча,матч
",",UNK
в,в
которых,который
забил,забить
1,UNK
гол,гол
.,UNK
=,UNK
=,UNK
=,UNK
гибель,гибель
=,UNK
=,UNK
=,UNK
кинтанилья,кинтанилья
погиб,погибнуть
в,в
1977,UNK
году,год
в,в
дтп,дтп
",",UNK
когда,когда
на,на
своём,свой
автомобиле,автомобиль
ехал,ехать
на,на
тренировку,тренировка
«,UNK
онсе,онс
мунисипаль,мунисипаль
»,UNK
.,UNK
=,UNK
=,UNK
достижения,достижение
=,UNK
=,UNK
«,UNK
альянса,альянс
»,UNK
чемпион,чемпион
сальвадора,сальвадор
(,UNK
2,UNK
),UNK
:,UNK
"1965/66,",UNK
1966/67,UNK
победитель,победитель
лиги,лига
чемпионов,чемпион
конкакаф,конкакаф
(,UNK
1,UNK
),UNK
:,UNK
1967,UNK
«,UNK
атлетико,атлетико
марте,март
»,UNK
чемпион,чемпион
сальвадора,сальвадор
(,UNK
1,UNK
),UNK
:,UNK
1970,UNK
=,UNK
=,UNK
примечания,примечание
=,UNK
=,UNK
сборная,сборная
гондураса,гондурас
по,по
футболу,футбол
(,UNK
исп,исп
.,UNK
selección,selección
de,de
fútbol,fútbol
de,de
honduras,honduras
),UNK
—,UNK
команда,команда
",",UNK
представляющая,представлять
гондурас,гондурас
на,на
международных,международный
футбольных,футбольный
турнирах,турнир
и,и
матчах,матч
.,UNK
управляющая,управлять
организация,организация
—,UNK
национальная,национальный
автономная,автономный
федерация,федерация
футбола,футбол
гондураса,гондурас
.,UNK
член,член
фифа,фифа
с,с
1951,UNK
года,год
.,UNK
наивысшее,высокий
достижение,достижение
в,в
рейтинге,рейтинг
фифа,фифа
было,быть
в,в
сентябре,сентябрь
2001,UNK
года,год
",",UNK
когда,когда
сборная,сборная
поднялась,подняться
на,на
20-е,UNK
место,место
в,в
мире,мир
.,UNK
=,UNK
=,UNK
история,история
=,UNK
=,UNK
первый,первый
матч,матч
сборная,сборная
гондураса,гондурас
провела,провести
в,в
1921,UNK
году,год
и,и
была,быть
разгромлена,разгромить
гватемалой,гватемала
1,UNK
:,UNK
10,UNK
.,UNK
длительное,длительный
время,время
гондурас,гондурас
не,не
мог,мочь
похвастаться,похвастаться
большими,больший
успехами,успех
",",UNK
ограничиваясь,ограничиваться
локальными,локальный
удачами,удача
",",UNK
такими,такой
",",UNK
как,как
победа,победа
над,над
слабой,слабый
сборной,сборная
никарагуа,никарагуа
в,в
1946,UNK
году,год
со,с
счётом,счет
13,UNK
:,UNK
0,UNK
.,UNK
начиная,начинать
с,с
1960-х,UNK
годов,год
уровень,уровень
и,и
интерес,интерес
к,к
футболу,футбол
в,в
стране,страна
медленно,медленно
",",UNK
но,но
верно,верно
стал,стать
расти,расти
.,UNK
проигрыш,проигрыш
сборной,сборная
гондураса,гондурас
от,от
сборной,сборная
сальвадора,сальвадор
в,в
1969,UNK
году,год
в,в
полуфинале,полуфинал
отборочного,отборочный
этапа,этап
чемпионата,чемпионат
мира,мир
по,по
футболу,футбол
",",UNK
явился,явиться
одним,один
из,из
непосредственных,непосредственный
поводов,повод
к,к
футбольной,футбольный
войне,война
—,UNK
вооружённому,вооруженный
конфликту,конфликт
между,между
этими,этот
странами,страна
.,UNK
первый,первый
«,UNK
золотой,золотой
период,период
»,UNK
в,в
истории,история
сборной,сборная
гондураса,гондурас
пришёлся,прийтись
на,на
начало,начало
1980-х,UNK
годов,год
.,UNK
гондурас,гондурас
был,быть
выбран,выбрать
местом,место
проведения,проведение
чемпионата,чемпионат
конкакаф,конкакаф
для,для
сборных,сборная
(,UNK
ныне,ныне
именуемый,именовать
золотой,золотой
кубок,кубок
конкакаф,конкакаф
),UNK
.,UNK
гондурасцы,гондурасец
блестяще,блестяще
провели,провести
турнир,турнир
",",UNK
обыграв,обыграть
все,весь
сборные,сборная
",",UNK
занявшие,занять
в,в
таблице,таблица
места,место
ниже,низкий
4-го,UNK
(,UNK
4,UNK
:,UNK
0,UNK
—,UNK
гаити,гаити
",",UNK
2,UNK
:,UNK
0,UNK
—,UNK
куба,куба
",",UNK
2,UNK
:,UNK
1,UNK
—,UNK
канада,канада
),UNK
",",UNK
сыграв,сыграть
вничью,вничью
0,UNK
:,UNK
0,UNK
с,с
двумя,два
призёрами,призер
турнира,турнир
—,UNK
сальвадором,сальвадор
и,и
мексикой,мексика
—,UNK
стали,стать
победителями,победитель
турнира,турнир
",",UNK
впервые,впервые
в,в
своей,свой
истории,история
.,UNK
поскольку,поскольку
чемпионат,чемпионат
конкакаф,конкакаф
1981,UNK
года,год
был,быть
одновременно,одновременно
отборочным,отборочный
турниром,турнир
к,к
чемпионату,чемпионат
мира,мир
1982,UNK
года,год
",",UNK
гондурас,гондурас
отправился,отправиться
(,UNK
вместе,вместе
со,с
вторым,второй
призёром,призер
сальвадором,сальвадор
),UNK
защищать,защищать
честь,честь
северной,северный
",",UNK
центральной,центральный
америки,америка
и,и
стран,страна
карибского,карибский
бассейна,бассейн
в,в
испанию,испания
.,UNK
команда,команда
достойно,достойно
провела,провести
турнир,турнир
",",UNK
хотя,хотя
и,и
не,не
смогла,смочь
выйти,выйти
из,из
группы,группа
—,UNK
были,быть
добыты,добыть
ничьи,ничья
с,с
хозяевами,хозяин
турнира,турнир
и,и
северной,северный
ирландией,ирландия
(,UNK
по,по
1,UNK
:,UNK
1,UNK
),UNK
",",UNK
но,но
минимальное,минимальный
поражение,поражение
от,от
югославии,югославия
(,UNK
0,UNK
:,UNK
1,UNK
),UNK
не,не
позволило,позволить
гондурасу,гондурас
выйти,выйти
в,в
следующий,следующий
раунд,раунд
.,UNK
в,в
1985,UNK
и,и
1991,UNK
годах,год
гондурас,гондурас
дважды,дважды
занимал,занимать
2-е,UNK
место,место
в,в
золотом,золотой
кубке,кубок
конкакаф,конкакаф
.,UNK
в,в
2001,UNK
году,год
гондурас,гондурас
пригласили,пригласить
в,в
последний,последний
момент,момент
для,для
участия,участие
в,в
кубке,кубок
америки,америка
",",UNK
прошедшем,пройти
в,в
колумбии,колумбия
.,UNK
гондурасцы,гондурасец
в,в
четвертьфинале,четвертьфинал
сенсационно,сенсационно
обыграли,обыграть
сборную,сборная
бразилии,бразилия
",",UNK
а,а
в,в
матче,матч
за,за
3-е,UNK
место,место
обыграли,обыграть
уругвай,уругвай
.,UNK
таким,такой
образом,образ
",",UNK
гондурас,гондурас
занял,занять
призовое,призовой
3-е,UNK
место,место
в,в
своём,свой
единственном,единственный
участии,участие
в,в
одном,один
из,из
самых,самый
престижнейших,престижный
футбольных,футбольный
турниров,турнир
мира,мир
.,UNK
впоследствии,впоследствии
гондурас,гондурас
признавался,признаваться
одной,один
из,из
самых,самый
быстро,быстро
прогрессирующих,прогрессировать
футбольных,футбольный
наций,нация
мира,мир
по,по
версиям,версия
журнала,журнал
«,UNK
world,world
soccer,soccer
»,UNK
",",UNK
мффиис,мффиис
и,и
фифа,фифа
.,UNK
в,в
2009,UNK
году,год
сборная,сборная
гондураса,гондурас
заняла,занять
3-е,UNK
место,место
в,в
финальной,финальный
отборочной,отборочный
группе,группа
конкакаф,конкакаф
и,и
во,в
второй,второй
раз,раз
в,в
своей,свой
истории,история
участвовала,участвовать
в,в
финальной,финальный
стадии,стадия
чемпионата,чемпионат
мира,мир
по,по
футболу,футбол
2010,UNK
в,в
юар,юар
",",UNK
где,где
взяла,взять
только,только
одно,один
очко,очко
",",UNK
сыграв,сыграть
вничью,вничью
со,с
швейцарией,швейцария
(,UNK
0,UNK
:,UNK
0,UNK
),UNK
.,UNK
две,два
оставшихся,остаться
встречи,встреча
с,с
чили,чили
и,и
испанией,испания
«,UNK
катра́чос,UNK
»,UNK
проиграли,проиграть
и,и
заняли,занять
последнее,последний
место,место
в,в
группе,группа
",",UNK
не,не
забив,забить
ни,ни
одного,один
мяча,мяч
.,UNK
в,в
2019,UNK
году,год
сборная,сборная
установила,установить
уникальное,уникальный
достижение,достижение
.,UNK
на,на
золотом,золотой
кубке,кубок
конкакаф,конкакаф
гондурас,гондурас
занял,занять
последнее,последний
место,место
в,в
своей,свой
группе,группа
",",UNK
но,но
при,при
этом,это
забил,забить
больше,большой
чем,чем
остальные,остальной
команды,команда
в,в
группе,группа
",",UNK
он,он
забил,забить
6,UNK
мячей,мяч
.,UNK
в,в
то,тот
время,время
ямайка,ямайка
забила,забить
4,UNK
гола,гол
(,UNK
1,UNK
место,место
),UNK
",",UNK
кюрасао,кюрасао
—,UNK
2,UNK
мяча,мяч
(,UNK
2,UNK
место,место
),UNK
",",UNK
а,а
сальвадор,сальвадор
(,UNK
3,UNK
место,место
),UNK
поразил,поразить
ворота,ворота
соперников,соперник
лишь,лишь
единожды,единожды
.,UNK
=,UNK
=,UNK
состав,состав
сборной,сборная
=,UNK
=,UNK
следующие,следующий
игроки,игрок
были,быть
вызваны,вызвать
в,в
состав,состав
сборной,сборная
главным,главный
тренером,тренер
эрнаном,эрнан
дарио,дарио
гомесом,гомес
для,для
участия,участие
в,в
матчах,матч
отборочного,отборочный
турнира,турнир
чемпионата,чемпионат
мира,мир
2022,UNK
против,против
сборной,сборная
канады,канада
(,UNK
27,UNK
января,январь
2022,UNK
),UNK
",",UNK
сборной,сборная
сальвадора,сальвадор
(,UNK
30,UNK
января,январь
2022,UNK
),UNK
и,и
сборной,сборная
сша,сша
(,UNK
2,UNK
февраля,февраль
2022,UNK
),UNK
.,UNK
игры,игра
и,и
голы,гол
приведены,привести
по,по
состоянию,состояние
на,на
16,UNK
января,январь
2022,UNK
года,год
:,UNK
=,UNK
=,UNK
участие,участие
в,в
турнирах,турнир
=,UNK
=,UNK
=,UNK
=,UNK
титулы,титул
и,и
достижения,достижение
=,UNK
=,UNK
чемпионат,чемпионат
наций,нация
конкакаф,конкакаф
:,UNK
1981,UNK
бронзовый,бронзовый
призёр,призер
кубка,кубок
америки,америка
:,UNK
2001,UNK
участник,участник
финальных,финальный
стадий,стадия
чемпионатов,чемпионат
мира,мир
(,UNK
3,UNK
),UNK
:,UNK
"1982,",UNK
"2010,",UNK
2014,UNK
центральноамериканский,центральноамериканский
кубок,кубок
(,UNK
3,UNK
),UNK
:,UNK
"1993,",UNK
"1995,",UNK
2011,UNK
=,UNK
=,UNK
форма,форма
=,UNK
=,UNK
=,UNK
=,UNK
=,UNK
домашняя,домашний
=,UNK
=,UNK
=,UNK
=,UNK
